original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
D-Tox,2002-03-15,"Crime, Thriller",96,"Germany, USA",English,Jim Gillespie,"Howard Swindle, Ron L. Brinkerhoff","Sylvester Stallone, Charles S. Dutton, Polly Walker, Kris Kristofferson, Mif, Christopher Fulford, Jeffrey Wright, Tom Berenger, Stephen Lang, A.C. Peterson, Hrothgar Mathews, Angela Alvarado, Robert Prosky, Robert Patrick, Courtney B. Vance",A lead detective being stalked by a serial killer is asked to check into a clinic treating law enforcement officials who can't face their jobs.,5.3,23989,55000000,6632383,158,-48367617
Impostor,2002-06-28,"Drama, Mystery, Sci-Fi",95,USA,English,Gary Fleder,"Philip K. Dick, Scott Rosenberg","Gary Sinise, Madeleine Stowe, Vincent D'Onofrio, Tony Shalhoub, Tim Guinee, Mekhi Phifer, Gary Dourdan, Lindsay Crouse, Elizabeth Peña, Jason Beck, Judy Jean Berns, Veena Bidasha, Ellen Bradley, Shane Brolly, Golden Brooks","In the future, an alien race uses androids as bombs to attack Earth. A government weapons specialist is accused of being one such android and sets out to prove his innocence.",6.2,22363,30000000,8694320,207,-21305680
Lost Souls,2001-01-12,"Drama, Horror, Thriller",97,USA,English,Janusz Kaminski,"Pierce Gardner, Betsy Stahl","Winona Ryder, Ben Chaplin, Sarah Wynter, Philip Baker Hall, John Hurt, Elias Koteas, Brian Reddy, John Beasley, John Diehl, Paul Kleiman, Bob Clendenin, Oliver Clark, Michael Mantell, Brad Greenquist, Ming Lo","A Catholic teacher meets an atheist journalist, whom a group of Catholics and Priests believes has been chosen by the devil to be the Antichrist.",4.8,10316,50000000,31355910,173,-18644090
Rules of Engagement,2000-11-10,"Drama, Thriller, War",128,"UK, Germany, Canada, USA",English,William Friedkin,"Jim Webb, Stephen Gaghan","Tommy Lee Jones, Samuel L. Jackson, Guy Pearce, Ben Kingsley, Bruce Greenwood, Anne Archer, Blair Underwood, Philip Baker Hall, Dale Dye, Amidou, Mark Feuerstein, Richard McGonagle, Baoan Coleman, Nicky Katt, Ryan Hurst",An attorney defends an officer on trial for ordering his troops to fire on civilians after they stormed a U.S. embassy in a Middle Eastern country.,6.4,43780,60000000,71732303,282,11732303
What Lies Beneath,2000-12-15,"Drama, Fantasy, Horror",130,USA,English,Robert Zemeckis,"Clark Gregg, Sarah Kernochan","Michelle Pfeiffer, Katharine Towne, Miranda Otto, James Remar, Harrison Ford, Victoria Bidewell, Diana Scarwid, Dennison Samaroo, Jennifer Tung, Eliott Goretsky, Rachel Singer, Daniel Zelman, Ray Baker, Wendy Crewson, Amber Valletta",The wife of a university research scientist believes that her lakeside Vermont home is haunted by a ghost - or that she is losing her mind.,6.6,116054,100000000,291420351,704,191420351
What's the Worst That Could Happen?,2002-07-05,"Comedy, Crime",94,USA,English,Sam Weisman,"Donald E. Westlake, Matthew Chapman","Martin Lawrence, Danny DeVito, John Leguizamo, Glenne Headly, Carmen Ejogo, Bernie Mac, Larry Miller, Nora Dunn, Richard Schiff, William Fichtner, Ana Gasteyer, Sascha Knopf, Siobhan Fallon Hogan, GQ, Lenny Clarke","A rich man catches a thief burglarizing his home and steals the thief's lucky ring, who then tries to get it back.",5.5,14842,60000000,38464131,84,-21535869
Nirgendwo in Afrika,2004-11-12,"Biography, Drama, History",141,Germany,English,Caroline Link,"Caroline Link, Stefanie Zweig","Juliane Köhler, Merab Ninidze, Sidede Onyulo, Matthias Habich, Lea Kurka, Karoline Eckertz, Gerd Heinz, Hildegard Schmahl, Maritta Horwarth, Regine Zimmermann, Gabrielle Odinis, Bettina Redlich, Julia Leidl, Mechthild Großmann, Joel Wajsberg",A German Jewish refugee family moves to and adjusts to a farm life in 1930s Kenya.,7.5,12257,7420000,24322180,89,16902180
Cast Away,2001-01-12,"Adventure, Drama, Romance",143,USA,English,Robert Zemeckis,William Broyles Jr.,"Paul Sanchez, Lari White, Leonid Citer, David Allen Brooks, Yelena Popovic, Valentina Ananina, Semion Sudarikov, Tom Hanks, Peter Von Berg, Dmitri S. Boudrine, François Duhamel, Michael Forest, Viveka Davis, Nick Searcy, Jennifer Choe",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,7.8,510788,90000000,429632142,1184,339632142
Ghost World,2002-11-08,"Comedy, Drama",111,"USA, UK, Germany",English,Terry Zwigoff,"Daniel Clowes, Daniel Clowes","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas, Bob Balaban, Stacey Travis, Charles C. Stevenson Jr., Dave Sheridan, Tom McGowan, Debra Azar, Brian George, Pat Healy, Rini Bell, T.J. Thyne","With only the plan of moving in together after high school, two unusually devious friends seek direction in life. As a mere gag, they respond to a man's newspaper ad for a date, only to find it will greatly complicate their lives.",7.3,111652,7000000,8764007,507,1764007
Shaft,2002-07-19,"Action, Crime, Thriller",99,"Germany, USA",English,John Singleton,"Ernest Tidyman, John Singleton","Samuel L. Jackson, Vanessa Williams, Jeffrey Wright, Christian Bale, Busta Rhymes, Dan Hedaya, Toni Collette, Richard Roundtree, Ruben Santiago-Hudson, Josef Sommer, Lynne Thigpen, Philip Bosco, Pat Hingle, Lee Tergesen, Daniel von Bargen",New York City police detective John Shaft (nephew of the original 1970s detective) goes on a personal mission to make sure the son of a real estate tycoon is brought to justice after a racially-motivated murder.,5.9,72469,46000000,107626125,310,61626125
Hanging Up,2000-05-05,"Comedy, Drama",94,"Germany, USA",English,Diane Keaton,"Delia Ephron, Delia Ephron","Meg Ryan, Diane Keaton, Lisa Kudrow, Walter Matthau, Adam Arkin, Shaun Duke, Ann Bortolotti, Cloris Leachman, Maree Cheatham, Myndy Crist, Libby Hudson Lydecker, Jesse James, Edie McClurg, Tracee Ellis Ross, Celia Weston","A trio of sisters bond over their ambivalence toward the approaching death of their curmudgeonly father, to whom none of them was particularly close.",4.9,11693,60000000,51880044,131,-8119956
Jurassic Park III,2001-08-31,"Action, Adventure, Sci-Fi",92,USA,English,Joe Johnston,"Michael Crichton, Peter Buchman","Sam Neill, William H. Macy, Téa Leoni, Alessandro Nivola, Trevor Morgan, Michael Jeter, John Diehl, Bruce A. Young, Laura Dern, Taylor Nichols, Mark Harelik, Julio Oscar Mechoso, Blake Michael Bryan, Sarah Danielle Madison, Linda Park","A decidedly odd couple with ulterior motives convince Dr. Grant to go to Isla Sorna for a holiday, but their unexpected landing startles the island's new inhabitants.",5.9,290954,93000000,368780809,1312,275780809
The Beach,2000-02-25,"Adventure, Drama, Romance",119,"USA, UK",English,Danny Boyle,"John Hodge, Alex Garland","Leonardo DiCaprio, Daniel York, Patcharawan Patarakijjanon, Virginie Ledoyen, Guillaume Canet, Robert Carlyle, Somboon Phutaroth, Weeratham 'Norman' Wichairaksakui, Sahajak Boonthanakit, Peter Youngblood Hills, Jerry Swindall, Krongthong Thampradith, Apichart Chusakul, Sanya 'Gai' Cheunjit, Kaneung 'Nueng' Kenia","Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",6.7,219346,50000000,144056873,590,94056873
Bless the Child,2001-05-18,"Crime, Drama, Horror",107,"USA, Germany",English,Chuck Russell,"Cathy Cash Spellman, Thomas Rickman","Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell, Angela Bettis, Christina Ricci, Michael Gaston, Lumi Cavazos, Dimitra Arliss, Eugene Lipinski, Anne Betancourt, Ian Holm, Helen Stenborg, Matthew Lemche, Dan Warry-Smith","Cody, a little girl abandoned by her mother and raised by her aunt, a nurse, is kidnapped. The girl's guardian, aided by an F.B.I. agent, learn that Cody has supernatural abilities, and the abductees are a Satanic cult willing to do anything to gain them.",5.1,13737,65000000,40443010,194,-24556990
Hollow Man,2000-10-13,"Action, Horror, Sci-Fi",112,"USA, Germany",English,Paul Verhoeven,"Gary Scott Thompson, Andrew W. Marlowe","Elisabeth Shue, Kevin Bacon, Josh Brolin, Kim Dickens, Greg Grunberg, Joey Slotnick, Mary Randle, William Devane, Rhona Mitra, Pablo Espinosa, Margot Rose, Jimmie F. Skaggs, Jeffrey Scaperrotta, Sarah Bowles, Kelli Scott","When the leader of a team of scientists volunteers to be the test subject for their experiment in human invisibility, he slowly unravels and turns against them, with horrific consequences.",5.8,121916,95000000,190213455,663,95213455
The Sum of All Fears,2002-08-30,"Action, Drama, Thriller",124,"USA, Germany, Canada",English,Phil Alden Robinson,"Tom Clancy, Paul Attanasio","Ian Mongrain, Russell Bobbitt, James Cromwell, Ken Jenkins, Bruce McGill, John Beasley, Morgan Freeman, Philip Baker Hall, Al Vandecruys, Richard Cohee, Philip Pretten, Alison Darcy, Richard Marner, Ostap Soroka, Robert Martin Robinson","CIA analyst Jack Ryan must stop the plans of a Neo-Nazi faction that threatens to induce a catastrophic conflict between the United States and Russia's President by detonating a nuclear weapon at a football game in Baltimore, Maryland.",6.4,101506,68000000,193921372,572,125921372
Under Suspicion,2000-06-02,"Crime, Drama, Thriller",110,"France, USA",English,Stephen Hopkins,"John Wainwright, Claude Miller","Gene Hackman, Morgan Freeman, Thomas Jane, Monica Bellucci, Nydia Caro, Miguel Ángel Suárez, Pablo Cunqueiro, Isabel Algaze, Jacqueline Duprey, Luis Caballero, Patricia Beato, Sahyly Yamile, Hector Travieso, Marisol Calero, Vanessa Shenk","A wealthy attorney in San Juan comes to the police station for ""10 min."" of follow up questions to finding a 12-year old girl's body in a park. Another young girl was also raped and murdered weeks earlier and the evidence points to him.",6.5,22055,25000000,1308242,174,-23691758
Along Came a Spider,2001-10-26,"Drama, Thriller",104,"USA, Germany, Canada",English,Lee Tamahori,"James Patterson, Marc Moss","Morgan Freeman, Monica Potter, Michael Wincott, Dylan Baker, Mika Boorem, Anton Yelchin, Kim Hawthorne, Jay O. Sanders, Billy Burke, Michael Moriarty, Penelope Ann Miller, Anna Maria Horsford, Scott Heindl, Christopher Shyer, Jill Teed","When a congressman's daughter under Secret Service protection is kidnapped from a private school, detective Alex Cross investigates the case even though he's recovering from the loss of his partner.",6.4,74947,60000000,105178561,351,45178561
Vidocq,2002-03-01,"Action, Crime, Fantasy",98,France,French,Pitof,"François-Eugène Vidocq, Pitof","Gérard Depardieu, Guillaume Canet, Inés Sastre, André Dussollier, Edith Scob, Moussa Maaskri, Jean-Pierre Gos, Isabelle Renauld, Jean-Pol Dubois, André Penvern, Gilles Arbona, Jean-Marc Thibault, François Chattot, Elsa Kikoïne, Fred Ulysse","Paris, 1830: Vidocq is killed by a mirror masked man. A thief turned investigator, he was working on a case of men hit by lightning, burning up. A beautiful woman was involved. After Vidocq's death, his biographer tries to solve the case.",6.5,20893,24320000,13240767,76,-11079233
Interstate 60: Episodes of the Road,2003-09-10,"Adventure, Comedy, Drama",116,"Canada, USA",English,Bob Gale,Bob Gale,"Matthew Edison, Paul Brogren, Wayne Robson, Gary Oldman, Michael J. Fox, James Marsden, Melyssa Ade, John Bourgeois, Roz Michaels, Amy Stewart, Christopher Lloyd, Jonathan Whittaker, Mark Lutz, Krista Leis, Michael Rhoades","Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",7.7,29384,7000000,8449,137,-6991551
Romeo Must Die,2000-07-21,"Action, Crime, Thriller",115,USA,English,Andrzej Bartkowiak,"Mitchell Kapner, Eric Bernt","Jet Li, Aaliyah, Isaiah Washington, Russell Wong, Delroy Lindo, D.B. Woodside, Henry O, Jon Kit Lee, Edoardo Ballerini, Anthony Anderson, DMX, Matthew Harrison, Terry Chen, Derek Lowe, Ronin Wong",An avenging cop seeks out his brother's killer and falls for the daughter of a businessman who is involved in a money-deal with his father.,6.1,66018,25000000,91036760,374,66036760
Sinbad: Legend of the Seven Seas,2003-12-19,"Animation, Adventure, Family",88,USA,English,"Patrick Gilmore, Tim Johnson",John Logan,"Brad Pitt, Catherine Zeta-Jones, Michelle Pfeiffer, Joseph Fiennes, Dennis Haysbert, Timothy West, Adriano Giannini, Raman Hui, Chung Chan, Jim Cummings, Conrad Vernon, Andrew Birch, Chris Miller","The sailor of legend is framed by the goddess Eris for the theft of the Book of Peace, and must travel to her realm at the end of the world to retrieve it and save the life of his childhood friend Prince Proteus.",6.7,48185,60000000,80773077,108,20773077
Monkeybone,2001-07-06,"Animation, Comedy, Fantasy",93,USA,English,Henry Selick,"Kaja Blackley, Sam Hamm","Brendan Fraser, Bridget Fonda, John Turturro, Chris Kattan, Giancarlo Esposito, Rose McGowan, Dave Foley, Megan Mullally, Bob Odenkirk, Pat Kilbane, Lisa Zane, Whoopi Goldberg, Sandra Thigpen, Wayne Wilderson, Amy Higgins","In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.",4.7,16489,75000000,7622365,174,-67377635
Spirit: Stallion of the Cimarron,2002-12-20,"Animation, Adventure, Drama",83,USA,English,"Kelly Asbury, Lorna Cook","John Fusco, Michael Lucker","Matt Damon, James Cromwell, Daniel Studi, Chopper Bernet, Jeff LeBeau, John Rubano, Richard McGonagle, Matt Levin, Adam Paul, Robert Cait, Charles Napier, Meredith Wells, Zahn McClarnon, Michael Horse, Donald Fullilove","A wild stallion is captured by humans and slowly loses the will to resist training, yet, throughout his struggles for freedom, the stallion refuses to let go of the hope of one day returning home to his herd.",7.1,63449,80000000,122563539,253,42563539
Mulholland Dr.,2002-02-15,"Drama, Mystery, Thriller",147,"France, USA",English,David Lynch,David Lynch,"Naomi Watts, Jeanne Bates, Dan Birnbaum, Laura Harring, Randall Wulff, Robert Forster, Brent Briscoe, Maya Bond, Patrick Fischler, Michael Cooke, Bonnie Aarons, Michael J. Anderson, Joseph Kearney, Enrique Buelna, Richard Mead","After a car wreck on the winding Mulholland Drive renders a woman amnesiac, she and a perky Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",8,312966,15000000,20129557,1929,5129557
Hellboy,2004-10-08,"Action, Fantasy, Horror",122,USA,English,Guillermo del Toro,"Guillermo del Toro, Guillermo del Toro","Ron Perlman, John Hurt, Selma Blair, Rupert Evans, Karel Roden, Jeffrey Tambor, Doug Jones, Brian Steele, Ladislav Beran, Biddy Hodson, Corey Johnson, Kevin Trainor, Brian Caspe, James Babson, Stephen Fisher","A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",6.8,302680,66000000,99378985,652,33378985
The Lord of the Rings: The Return of the King,2004-01-22,"Action, Adventure, Drama",201,"New Zealand, USA",English,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Noel Appleby, Ali Astin, Sean Astin, David Aston, John Bach, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Sadwyn Brophy, Alistair Browning, Marton Csokas, Richard Edge, Jason Fitch, Bernard Hill",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,8.9,1604280,94000000,1142271098,3718,1048271098
The Lord of the Rings: The Two Towers,2003-01-16,"Action, Adventure, Drama",179,"New Zealand, USA",English,Peter Jackson,"J.R.R. Tolkien, Fran Walsh","Bruce Allpress, Sean Astin, John Bach, Sala Baker, Cate Blanchett, Orlando Bloom, Billy Boyd, Jed Brophy, Sam Comery, Brad Dourif, Calum Gittins, Bernard Hill, Bruce Hopkins, Paris Howe Strewe, Christopher Lee","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",8.7,1449778,94000000,951227416,2575,857227416
Thunderbirds,2004-07-23,"Action, Adventure, Comedy",95,"UK, France, USA",English,Jonathan Frakes,"Gerry Anderson, Sylvia Anderson","Brady Corbet, Debora Weston, Soren Fulton, Lou Hirsch, Alex Barringer, Demetri Goritsas, Genie Francis, Philip Winchester, Deobia Oparei, Bill Paxton, Kyle Herbert, Dominic Colenso, Ben Torgersen, Sophia Myles, Ron Cook","When The Hood finds and invades International Rescue's secret base and traps most of the Tracy family, only young Alan Tracy and his friends can save the day.",4.3,12967,57000000,28283637,229,-28716363
Dancer in the Dark,2000-10-18,"Crime, Drama, Musical",140,"Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium",English,Lars von Trier,Lars von Trier,"Björk, Catherine Deneuve, David Morse, Peter Stormare, Joel Grey, Cara Seymour, Vladica Kostic, Jean-Marc Barr, Vincent Paterson, Siobhan Fallon Hogan, Zeljko Ivanek, Udo Kier, Jens Albinus, Reathel Bean, Mette Berggreen","An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",8,100095,12800000,40031879,718,27231879
